canonical_id,display_artist,display_title,play_count,spotify_album_release_year,spotify_album_type,spotify_isrc,mb_lookup_status,mb_isrc_year,mb_ta_status,mb_title_artist_year,manual_year_override
2135,Lake Street Dive,Let Me Roll It,1,2012,single,TCABF1243954,FAILED,,FAILED,,
2425,Lost Leaders,Miracle Mile,1,2014,album,ushm21414317,FAILED,,FAILED,,
2048,Lou Reed,White Light/white Heat,2,1974,album,USRC17308362,FAILED,,FAILED,,
864,Low Cut Connie,Livin In The Usa,5,2026,single,QZNWP2552412,FAILED,,FAILED,,
885,Maggie Rose & Grace Potter,Poison In My Well,3,2025,single,USA2P2534433,FAILED,,FAILED,,
1755,Mitch Ryder & The Detroit Wheels,Rock & Roll,1,2005,compilation,USRH10550263,FAILED,,FAILED,,
2902,Needtobreathe,Say It Now,1,2026,album,USUG12510329,FAILED,,FAILED,,
973,Neil Finn,Don't Dream It's Over (Live At The St. James),1,2001,album,GBAYE0101961,FAILED,,FAILED,,
1761,Neil Finn & Paul Kelly,Distant Sun,1,2013,album,QMWHB1501373,FAILED,,FAILED,,
974,Neil W Young,Southern Love (Feat. The Hot Rod Stars),2,2018,single,CA63K1600025,FAILED,,FAILED,,
987,Neil Young & Crazy Horse,Cortez The Killer,1,1975,album,USRE11600796,FAILED,,FAILED,,
1022,Norah Jones & Josh Homme,"Somethin' Stupid (From ""Norah Jones Is Playing Along"" Podcast)",2,2026,single,USUM72600595,FAILED,,FAILED,,
1023,Noso,You're No Man,2,2025,album,USBQU2400311,FAILED,,FAILED,,
2674,O.a.r. & Robert Randolph & The Family Band,Fool In The Rain,1,2004,single,USAT20400030,FAILED,,FAILED,,
1047,Paul McCartney & Wings,Blackbird (One Hand Clapping Sessions),1,2024,single,GBCCS2400038,FAILED,,FAILED,,
2051,Paul Mccartney,No More Lonely Nights (Ballad),1,1984,album,GBCCS0700379,FAILED,,FAILED,,
1103,Peter Tosh & Mick Jagger,(You Gotta Walk) Don't Look Back,2,1988,album,GB01A0200038,FAILED,,FAILED,,
2806,Phillip Phillips,Homesick,1,2026,single,QM24S2601408,FAILED,,FAILED,,
2481,Ramones,Gimme Gimme Shock Treatment,1,1977,album,USRH11701199,FAILED,,FAILED,,
2545,Rebecca Haviland And Whiskey Heart,Bright City Lights,1,2018,album,uscgj1873784,FAILED,,FAILED,,
2438,Tedeschi Trucks Band,Bell Bottom Blues (Feat. Trey Anastasio) [Live At Lockn' / 2019],1,2021,album,USC4R2108007,FAILED,,FAILED,,
1472,Tedeschi Trucks Band,Layla (Feat. Trey Anastasio) [Live At Lockn' / 2019],1,2021,album,USC4R2108018,FAILED,,FAILED,,
2657,The Afghan Whigs,House Of I,1,2026,single,QMRSZ2600442,FAILED,,FAILED,,
43,The Alternate Routes,Nothing More (Feat. Lily Costner),1,2015,album,TCACJ1542363,FAILED,,FAILED,,
2385,The Call,The Walls Come Down,1,2026,single,US6R22549915,FAILED,,FAILED,,
2947,The Icicle Works,Birds Fly (Whisper To A Scream) [Live],1,2009,album,GBGXD0800150,FAILED,,FAILED,,
677,The J. Geils Band,(It Ain't Nothin' But A) House Party,1,2012,album,USZXT1500038,FAILED,,FAILED,,
1144,The Pretenders,Message Of Love,3,1981,album,GBAHT1800306,FAILED,,FAILED,,
2967,The Revivalists,Heart Stop,1,2026,single,USC4R2663791,FAILED,,FAILED,,
1262,The Rolling Stones,Like A Rolling Stone,1,1995,album,GBUM70912460,FAILED,,FAILED,,
2677,The Vindys,Same Stars,1,2026,single,QZPLS2625560,FAILED,,FAILED,,
1489,Tom Hamilton,Kissing With Our Eyes Closed,4,2026,album,QMFMF2507394,FAILED,,FAILED,,
1527,Tyler Ramsey & Carl Broemel,Flying Things (Feat. The Secret Sisters),3,2026,album,TCAKA2515371,FAILED,,FAILED,,
1571,Vance Joy,Fascination In The Dark,43,2025,single,USAT22506079,FAILED,,FAILED,,
1961,Warren Haynes,The Shape I'm In,1,2013,compilation,USYRC1300001,FAILED,,FAILED,,
2933,Yes,Starship Trooper: A. Life Seeker - B. Disillusion - C. Würm,1,1971,album,USEE10801568,FAILED,,FAILED,,
